MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
249,not provided,Others,Transfer out,Agricultural Services
250,not provided,Others,Transfer out,Agricultural Services
251,not provided,Others,Transfer out,Agricultural Services
252,not provided,Others,Transfer out,Agricultural Services
253,not provided,Others,Transfer out,Agricultural Services
254,not provided,Others,Transfer out,Agricultural Services
255,not provided,Others,Transfer out,Agricultural Services
256,not provided,Others,Transfer out,Agricultural Services
257,not provided,Others,Transfer out,Agricultural Services
258,not provided,Others,Transfer out,Agricultural Services
259,not provided,Others,Transfer out,Agricultural Services
260,not provided,Others,Transfer out,Agricultural Services
261,not provided,Others,Transfer out,Agricultural Services
262,not provided,Others,Transfer out,Agricultural Services
263,not provided,Others,Transfer out,Agricultural Services
264,not provided,Others,Transfer out,Agricultural Services
265,not provided,Others,Transfer out,Agricultural Services
266,not provided,Others,Transfer out,Agricultural Services
267,not provided,Others,Transfer out,Agricultural Services
268,not provided,Others,Transfer out,Agricultural Services
269,not provided,Others,Transfer out,Agricultural Services
270,not provided,Others,Transfer out,Agricultural Services
271,not provided,Others,Transfer out,Agricultural Services
272,not provided,Others,Transfer out,Agricultural Services
273,not provided,Others,Transfer out,Agricultural Services
274,not provided,Others,Transfer out,Agricultural Services
275,not provided,Others,Transfer out,Agricultural Services
276,not provided,Others,Transfer out,Agricultural Services
277,not provided,Others,Transfer out,Agricultural Services
278,not provided,Others,Transfer out,Agricultural Services
279,not provided,Others,Transfer out,Agricultural Services
280,not provided,Others,Transfer out,Agricultural Services
281,not provided,Others,Transfer out,Agricultural Services
282,not provided,Others,Transfer out,Agricultural Services
283,not provided,Others,Transfer out,Agricultural Services
284,not provided,Others,Transfer out,Agricultural Services
285,not provided,Others,Transfer out,Agricultural Services
286,not provided,Others,Transfer out,Agricultural Services
287,not provided,Others,Transfer out,Agricultural Services
288,not provided,Others,Transfer out,Agricultural Services
289,not provided,Others,Transfer out,Agricultural Services
290,not provided,Others,Transfer out,Agricultural Services
291,not provided,Others,Transfer out,Agricultural Services
292,not provided,Others,Transfer out,Agricultural Services
293,not provided,Others,Transfer out,Agricultural Services
294,not provided,Others,Transfer out,Agricultural Services
295,not provided,Others,Transfer out,Agricultural Services
296,not provided,Others,Transfer out,Agricultural Services
297,not provided,Others,Transfer out,Agricultural Services
298,not provided,Others,Transfer out,Agricultural Services
299,not provided,Others,Transfer out,Agricultural Services
300,not provided,Others,Transfer out,Agricultural Services
301,not provided,Others,Transfer out,Agricultural Services
302,not provided,Others,Transfer out,Agricultural Services
303,not provided,Others,Transfer out,Agricultural Services
304,not provided,Others,Transfer out,Agricultural Services
305,not provided,Others,Transfer out,Agricultural Services
306,not provided,Others,Transfer out,Agricultural Services
307,not provided,Others,Transfer out,Agricultural Services
308,not provided,Others,Transfer out,Agricultural Services
309,not provided,Others,Transfer out,Agricultural Services
310,not provided,Others,Transfer out,Agricultural Services
311,not provided,Others,Transfer out,Agricultural Services
